# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
12747.3000 M173 568074 2 2001.3000 Sat13 Sat35 266 N Sat13->Sat24->Sat35
14435.6000 M259 883837 1 518.6000 Sat35 Sanya2 291 N Sat35->Sanya2
14439.1000 M187 856467 1 3693.1000 Sat35 Sanya2 238 N Sat35->Sanya2
14442.5000 M134 844772 3 7452.5000 Sat57 Sat35 175 N Sat57->Sat68->Sanya2->Sat35
14445.0000 M142 612761 2 7455.0000 Sat68 Sat35 175 N Sat68->Sanya2->Sat35
14447.6000 M206 641881 3 3701.6000 Sat57 Sat35 238 N Sat57->Sat68->Sanya2->Sat35
14449.8000 M126 531670 4 7459.8000 Sat46 Sat35 175 N Sat46->Sat57->Sat68->Sanya2->Sat35
14452.1000 M214 560634 2 3706.1000 Sat68 Sat35 238 N Sat68->Sanya2->Sat35
14455.7000 M165 889225 1 3709.7000 Sanya2 Sat35 238 N Sanya2->Sat35
14458.5000 M237 686270 1 541.5000 Sanya2 Sat35 290 N Sanya2->Sat35
14461.5000 M54 746091 4 10934.5000 Sat46 Sat35 117 N Sat46->Sat57->Sat68->Sanya2->Sat35
14783.7000 M42 664013 2 11256.7000 Sat35 Kashi1 112 N Sat35->Sat24->Kashi1
14787.5000 M186 940661 2 4041.5000 Sat35 Kashi1 232 N Sat35->Sat24->Kashi1
14790.4000 M250 700052 1 873.4000 Sat24 Kashi1 285 N Sat24->Kashi1
14793.0000 M114 639593 2 7803.0000 Sat35 Kashi1 169 N Sat35->Sat24->Kashi1
14796.0000 M178 740228 1 4050.0000 Sat24 Kashi1 232 N Sat24->Kashi1
14798.8000 M156 683464 1 4052.8000 Kashi1 Sat24 232 N Kashi1->Sat24
14802.4000 M133 888356 3 7812.4000 Sat57 Sat24 169 N Sat57->Sat68->Kashi1->Sat24
14805.5000 M141 759611 2 7815.5000 Sat68 Sat24 169 N Sat68->Kashi1->Sat24
14807.9000 M125 582298 4 7817.9000 Sat46 Sat24 169 N Sat46->Sat57->Sat68->Kashi1->Sat24
14810.8000 M53 711571 4 11283.8000 Sat46 Sat24 111 N Sat46->Sat57->Sat68->Kashi1->Sat24
14814.4000 M205 891919 3 4068.4000 Sat57 Sat24 232 N Sat57->Sat68->Kashi1->Sat24
14818.3000 M213 953264 2 4072.3000 Sat68 Sat24 232 N Sat68->Kashi1->Sat24
14821.7000 M228 837610 1 904.7000 Kashi1 Sat24 284 N Kashi1->Sat24
15053.2000 M132 799430 4 8063.2000 Sat57 Sat13 165 N Sat57->Sat68->Kashi1->Sat24->Sat13
15056.4000 M140 784614 3 8066.4000 Sat68 Sat13 165 N Sat68->Kashi1->Sat24->Sat13
15060.2000 M252 946950 1 1143.2000 Sat24 Sat13 280 N Sat24->Sat13
15062.4000 M204 532856 4 4316.4000 Sat57 Sat13 228 N Sat57->Sat68->Kashi1->Sat24->Sat13
15065.8000 M212 845229 3 4319.8000 Sat68 Sat13 228 N Sat68->Kashi1->Sat24->Sat13
15069.7000 M124 963752 5 8079.7000 Sat46 Sat13 165 N Sat46->Sat57->Sat68->Kashi1->Sat24->Sat13
15071.9000 M227 530476 2 1154.9000 Kashi1 Sat13 280 N Kashi1->Sat24->Sat13
15075.6000 M155 900801 2 4329.6000 Kashi1 Sat13 227 N Kashi1->Sat24->Sat13
15079.5000 M244 964734 1 1162.5000 Sat13 Sat24 280 N Sat13->Sat24
15085.6000 M271 647683 1 1168.6000 Sat46 Sat57 280 N Sat46->Sat57
15087.7000 M279 507924 1 1170.7000 Sat57 Sat46 280 N Sat57->Sat46
15173.2000 M145 737538 3 4427.2000 Beijing0 Kashi1 226 N Beijing0->Sat13->Sat24->Kashi1
15175.8000 M170 625067 2 4429.8000 Sat13 Kashi1 226 N Sat13->Sat24->Kashi1
15178.2000 M242 586604 2 1261.2000 Sat13 Kashi1 278 N Sat13->Sat24->Kashi1
15311.6000 M270 724219 1 1394.6000 Sat46 Sat35 276 N Sat46->Sat35
15314.5000 M278 716388 2 1397.5000 Sat57 Sat35 276 N Sat57->Sat46->Sat35
15317.3000 M198 675185 1 4571.3000 Sat46 Sat35 223 N Sat46->Sat35
15320.1000 M118 678625 1 8330.1000 Sat35 Sat46 161 N Sat35->Sat46
15322.6000 M190 605393 1 4576.6000 Sat35 Sat46 223 N Sat35->Sat46
15324.9000 M46 565687 1 11797.9000 Sat35 Sat46 103 N Sat35->Sat46
15328.7000 M262 942250 1 1411.7000 Sat35 Sat46 276 N Sat35->Sat46
15370.6000 M263 716229 2 1453.6000 Sat35 Sat57 275 N Sat35->Sat46->Sat57
15374.2000 M119 896607 2 8384.2000 Sat35 Sat57 160 N Sat35->Sat46->Sat57
15377.2000 M191 725960 2 4631.2000 Sat35 Sat57 222 N Sat35->Sat46->Sat57
15379.4000 M47 545086 2 11852.4000 Sat35 Sat57 102 N Sat35->Sat46->Sat57
15435.0000 M185 734776 2 4689.0000 Sat35 Beijing0 221 N Sat35->Sat24->Beijing0
15438.7000 M225 905197 2 1521.7000 Kashi1 Beijing0 274 N Kashi1->Sat24->Beijing0
15442.3000 M249 895682 1 1525.3000 Sat24 Beijing0 274 N Sat24->Beijing0
15446.3000 M153 983915 2 4700.3000 Kashi1 Beijing0 221 N Kashi1->Sat24->Beijing0
15448.4000 M177 506581 1 4702.4000 Sat24 Beijing0 221 N Sat24->Beijing0
15451.6000 M220 782957 1 1534.6000 Beijing0 Sat24 274 N Beijing0->Sat24
15455.6000 M148 990930 1 4709.6000 Beijing0 Sat24 221 N Beijing0->Sat24
15485.9000 M288 567791 1 1568.9000 Sat68 Sat57 273 N Sat68->Sat57
15488.1000 M272 549614 2 1571.1000 Sat46 Sat68 273 N Sat46->Sat57->Sat68
15491.9000 M264 935199 3 1574.9000 Sat35 Sat68 273 N Sat35->Sat46->Sat57->Sat68
15494.1000 M192 537079 3 4748.1000 Sat35 Sat68 220 N Sat35->Sat46->Sat57->Sat68
15498.1000 M280 990133 1 1581.1000 Sat57 Sat68 273 N Sat57->Sat68
15507.9000 M219 810358 2 1590.9000 Beijing0 Sat13 273 N Beijing0->Sat24->Sat13
15511.7000 M217 942166 2 1594.7000 Beijing0 Kashi1 273 N Beijing0->Sat24->Kashi1
15553.3000 M287 522530 2 1636.3000 Sat68 Sat46 272 N Sat68->Sat57->Sat46
15705.2000 M241 640531 2 1788.2000 Sat13 Beijing0 270 N Sat13->Sat24->Beijing0
15713.1000 M221 618175 2 1796.1000 Beijing0 Sat35 270 N Beijing0->Sat24->Sat35
15715.4000 M157 572441 2 4969.4000 Kashi1 Sat35 217 N Kashi1->Sat24->Sat35
15718.2000 M149 698725 2 4972.2000 Beijing0 Sat35 217 N Beijing0->Sat24->Sat35
15721.0000 M253 679024 1 1804.0000 Sat24 Sat35 269 N Sat24->Sat35
15723.1000 M229 522635 2 1806.1000 Kashi1 Sat35 269 N Kashi1->Sat24->Sat35
15726.1000 M245 745934 2 1809.1000 Sat13 Sat35 269 N Sat13->Sat24->Sat35
15730.1000 M197 976458 2 4984.1000 Sat46 Sat24 216 N Sat46->Sat35->Sat24
15733.2000 M261 762094 1 1816.2000 Sat35 Sat24 269 N Sat35->Sat24
15736.3000 M277 766484 3 1819.3000 Sat57 Sat24 269 N Sat57->Sat46->Sat35->Sat24
15740.1000 M164 944036 2 4994.1000 Sanya2 Sat24 216 N Sanya2->Sat35->Sat24
15744.1000 M236 999278 2 1827.1000 Sanya2 Sat24 269 N Sanya2->Sat35->Sat24
15746.7000 M269 649807 2 1829.7000 Sat46 Sat24 269 N Sat46->Sat35->Sat24
15801.2000 M268 860233 3 1884.2000 Sat46 Sat13 268 N Sat46->Sat35->Sat24->Sat13
15804.6000 M260 828271 2 1887.6000 Sat35 Sat13 268 N Sat35->Sat24->Sat13
15807.7000 M196 754826 3 5061.7000 Sat46 Sat13 215 N Sat46->Sat35->Sat24->Sat13
15822.7000 M266 721262 4 1905.7000 Sat46 Kashi1 268 N Sat46->Sat35->Sat24->Sat13->Kashi1
15825.5000 M258 699504 3 1908.5000 Sat35 Kashi1 268 N Sat35->Sat24->Sat13->Kashi1
15828.1000 M194 631448 4 5082.1000 Sat46 Kashi1 215 N Sat46->Sat35->Sat24->Sat13->Kashi1
16014.2000 M150 542038 3 5268.2000 Beijing0 Sat46 212 N Beijing0->Sat24->Sat35->Sat46
16017.6000 M254 826254 2 2100.6000 Sat24 Sat46 264 N Sat24->Sat35->Sat46
16020.3000 M174 663117 3 5274.3000 Sat13 Sat46 212 N Sat13->Sat24->Sat35->Sat46
16022.7000 M246 575128 3 2105.7000 Sat13 Sat46 264 N Sat13->Sat24->Sat35->Sat46
16026.5000 M222 947168 3 2109.5000 Beijing0 Sat46 264 N Beijing0->Sat24->Sat35->Sat46
16029.6000 M78 773543 3 9039.6000 Beijing0 Sat46 149 N Beijing0->Sat24->Sat35->Sat46
16032.5000 M182 702628 2 5286.5000 Sat24 Sat46 211 N Sat24->Sat35->Sat46
16050.7000 M257 628836 3 2133.7000 Sat35 Beijing0 264 N Sat35->Sat24->Sat13->Beijing0
16053.8000 M121 770945 4 9063.8000 Sat46 Beijing0 148 N Sat46->Sat35->Sat24->Sat13->Beijing0
16057.7000 M193 955987 4 5311.7000 Sat46 Beijing0 211 N Sat46->Sat35->Sat24->Sat13->Beijing0
16060.9000 M201 797770 5 5314.9000 Sat57 Beijing0 211 N Sat57->Sat46->Sat35->Sat24->Sat13->Beijing0
16063.8000 M233 720977 4 2146.8000 Sanya2 Beijing0 264 N Sanya2->Sat35->Sat24->Sat13->Beijing0
16067.5000 M265 922010 4 2150.5000 Sat46 Beijing0 264 N Sat46->Sat35->Sat24->Sat13->Beijing0
16071.1000 M129 892375 5 9081.1000 Sat57 Beijing0 148 N Sat57->Sat46->Sat35->Sat24->Sat13->Beijing0
16073.5000 M273 580609 5 2156.5000 Sat57 Beijing0 264 N Sat57->Sat46->Sat35->Sat24->Sat13->Beijing0
16076.9000 M161 838158 4 5330.9000 Sanya2 Beijing0 211 N Sanya2->Sat35->Sat24->Sat13->Beijing0
16110.4000 M247 874890 4 2193.4000 Sat13 Sat57 263 N Sat13->Sat24->Sat35->Sat46->Sat57
16113.2000 M223 689746 4 2196.2000 Beijing0 Sat57 263 N Beijing0->Sat24->Sat35->Sat46->Sat57
16116.5000 M183 820680 3 5370.5000 Sat24 Sat57 210 N Sat24->Sat35->Sat46->Sat57
16119.6000 M175 773287 4 5373.6000 Sat13 Sat57 210 N Sat13->Sat24->Sat35->Sat46->Sat57
16121.9000 M255 558842 3 2204.9000 Sat24 Sat57 263 N Sat24->Sat35->Sat46->Sat57
16125.5000 M79 885202 5 9135.5000 Beijing0 Sat57 147 N Beijing0->Sat13->Sat24->Sat35->Sat46->Sat57
16129.2000 M151 916892 5 5383.2000 Beijing0 Sat57 210 N Beijing0->Sat13->Sat24->Sat35->Sat46->Sat57
16173.8000 M274 683537 2 2256.8000 Sat57 Kashi1 262 N Sat57->Sat68->Kashi1
16176.5000 M282 673483 1 2259.5000 Sat68 Kashi1 262 N Sat68->Kashi1
16180.5000 M162 996688 2 5434.5000 Sanya2 Kashi1 209 N Sanya2->Sat68->Kashi1
16183.4000 M152 724948 3 5437.4000 Beijing0 Sat68 209 N Beijing0->Sat24->Kashi1->Sat68
16185.8000 M256 590287 2 2268.8000 Sat24 Sat68 262 N Sat24->Kashi1->Sat68
16188.1000 M248 570569 3 2271.1000 Sat13 Sat68 262 N Sat13->Sat24->Kashi1->Sat68
16190.6000 M224 601479 3 2273.6000 Beijing0 Sat68 262 N Beijing0->Sat24->Kashi1->Sat68
16193.8000 M184 779422 2 5447.8000 Sat24 Sat68 209 N Sat24->Kashi1->Sat68
16196.1000 M232 562758 1 2279.1000 Kashi1 Sat68 262 N Kashi1->Sat68
16198.3000 M176 528150 3 5452.3000 Sat13 Sat68 209 N Sat13->Sat24->Kashi1->Sat68
16202.2000 M80 963205 3 9212.2000 Beijing0 Sat68 146 N Beijing0->Sat24->Kashi1->Sat68
18471.8000 M334 940506 1 3.8000 Sat35 Sat46 299 N Sat35->Sat46
18473.6000 M316 626408 1 5.6000 Sat13 Sat24 299 N Sat13->Sat24
18475.8000 M342 987409 1 7.8000 Sat46 Sat35 299 N Sat46->Sat35
18477.6000 M324 985912 1 9.6000 Sat24 Sat13 299 N Sat24->Sat13
18479.3000 M343 870121 1 11.3000 Sat46 Sat57 299 N Sat46->Sat57
18481.4000 M351 502436 1 13.4000 Sat57 Sat46 299 N Sat57->Sat46
18504.6000 M350 936709 2 36.6000 Sat57 Sat35 299 N Sat57->Sat46->Sat35
18551.8000 M335 950749 2 83.8000 Sat35 Sat57 298 N Sat35->Sat46->Sat57
20005.5000 M309 854445 1 1537.5000 Sanya2 Sat35 274 N Sanya2->Sat35
20009.0000 M275 862524 3 6092.0000 Sat57 Sanya2 198 N Sat57->Sat46->Sat35->Sanya2
20011.7000 M195 667533 2 9265.7000 Sat46 Sanya2 145 N Sat46->Sat35->Sanya2
20013.9000 M267 540182 2 6096.9000 Sat46 Sanya2 198 N Sat46->Sat35->Sanya2
20017.2000 M146 817114 3 9271.2000 Beijing0 Sanya2 145 N Beijing0->Sat24->Sat35->Sanya2
20019.6000 M331 577575 1 1551.6000 Sat35 Sanya2 274 N Sat35->Sanya2
20022.4000 M218 683682 3 6105.4000 Beijing0 Sanya2 198 N Beijing0->Sat24->Sat35->Sanya2
20025.9000 M99 864342 3 13035.9000 Sat13 Sanya2 82 N Sat13->Sat24->Sat35->Sanya2
20028.2000 M226 566837 3 6111.2000 Kashi1 Sanya2 198 N Kashi1->Sat24->Sat35->Sanya2
20030.6000 M74 580040 3 13040.6000 Beijing0 Sanya2 82 N Beijing0->Sat24->Sat35->Sanya2
20033.1000 M243 600848 3 6116.1000 Sat13 Sanya2 198 N Sat13->Sat24->Sat35->Sanya2
