# time  ID  size  fromHost  toHost  TTL  isResponse
10746.0000 M152 724948 Beijing0 Sat68 300 N 
10746.0000 M153 983915 Kashi1 Beijing0 300 N 
10746.0000 M154 822125 Kashi1 Sanya2 300 N 
10746.0000 M155 900801 Kashi1 Sat13 300 N 
10746.0000 M156 683464 Kashi1 Sat24 300 N 
10746.0000 M157 572441 Kashi1 Sat35 300 N 
10746.0000 M158 889457 Kashi1 Sat46 300 N 
10746.0000 M159 701506 Kashi1 Sat57 300 N 
10746.0000 M160 618421 Kashi1 Sat68 300 N 
10746.0000 M161 838158 Sanya2 Beijing0 300 N 
10746.0000 M162 996688 Sanya2 Kashi1 300 N 
10746.0000 M163 519988 Sanya2 Sat13 300 N 
10746.0000 M164 944036 Sanya2 Sat24 300 N 
10746.0000 M165 889225 Sanya2 Sat35 300 N 
10746.0000 M166 713417 Sanya2 Sat46 300 N 
10746.0000 M167 902152 Sanya2 Sat57 300 N 
10746.0000 M168 941579 Sanya2 Sat68 300 N 
10746.0000 M169 596711 Sat13 Beijing0 300 N 
10746.0000 M170 625067 Sat13 Kashi1 300 N 
10746.0000 M171 811066 Sat13 Sanya2 300 N 
10746.0000 M172 623927 Sat13 Sat24 300 N 
10746.0000 M173 568074 Sat13 Sat35 300 N 
10746.0000 M174 663117 Sat13 Sat46 300 N 
10746.0000 M175 773287 Sat13 Sat57 300 N 
10746.0000 M176 528150 Sat13 Sat68 300 N 
10746.0000 M177 506581 Sat24 Beijing0 300 N 
10746.0000 M178 740228 Sat24 Kashi1 300 N 
10746.0000 M179 946907 Sat24 Sanya2 300 N 
10746.0000 M180 510399 Sat24 Sat13 300 N 
10746.0000 M181 636051 Sat24 Sat35 300 N 
10746.0000 M182 702628 Sat24 Sat46 300 N 
10746.0000 M183 820680 Sat24 Sat57 300 N 
10746.0000 M184 779422 Sat24 Sat68 300 N 
10746.0000 M185 734776 Sat35 Beijing0 300 N 
10746.0000 M186 940661 Sat35 Kashi1 300 N 
10746.0000 M187 856467 Sat35 Sanya2 300 N 
10746.0000 M188 884448 Sat35 Sat13 300 N 
10746.0000 M189 884863 Sat35 Sat24 300 N 
10746.0000 M190 605393 Sat35 Sat46 300 N 
10746.0000 M191 725960 Sat35 Sat57 300 N 
10746.0000 M192 537079 Sat35 Sat68 300 N 
10746.0000 M193 955987 Sat46 Beijing0 300 N 
10746.0000 M194 631448 Sat46 Kashi1 300 N 
10746.0000 M195 667533 Sat46 Sanya2 300 N 
10746.0000 M196 754826 Sat46 Sat13 300 N 
10746.0000 M197 976458 Sat46 Sat24 300 N 
10746.0000 M198 675185 Sat46 Sat35 300 N 
10746.0000 M199 591380 Sat46 Sat57 300 N 
10746.0000 M200 741053 Sat46 Sat68 300 N 
10746.0000 M201 797770 Sat57 Beijing0 300 N 
10746.0000 M202 837117 Sat57 Kashi1 300 N 
10746.0000 M203 610794 Sat57 Sanya2 300 N 
10746.0000 M204 532856 Sat57 Sat13 300 N 
10746.0000 M205 891919 Sat57 Sat24 300 N 
10746.0000 M206 641881 Sat57 Sat35 300 N 
10746.0000 M207 870477 Sat57 Sat46 300 N 
10746.0000 M208 794486 Sat57 Sat68 300 N 
10746.0000 M209 883685 Sat68 Beijing0 300 N 
10746.0000 M210 784336 Sat68 Kashi1 300 N 
10746.0000 M211 514267 Sat68 Sanya2 300 N 
10746.0000 M212 845229 Sat68 Sat13 300 N 
10746.0000 M213 953264 Sat68 Sat24 300 N 
10746.0000 M214 560634 Sat68 Sat35 300 N 
10746.0000 M215 699877 Sat68 Sat46 300 N 
10746.0000 M216 968340 Sat68 Sat57 300 N 
13917.0000 M217 942166 Beijing0 Kashi1 300 N 
13917.0000 M218 683682 Beijing0 Sanya2 300 N 
